Area_sqft,Property_Type,Year_Built,Distance_to_City_Center_km,Bedrooms,Bathrooms,Floor_Number,Price_INR
848,0.0,2025,6.014642386349766,2,3,4,6823872
5661,0.5,2021,29.492239094835245,6,6,1,28065022
1033,1.0,2022,41.73332698673729,2,1,3,5448433
2457,0.5,2014,13.84627216521172,3,2,2,20050346
1418,0.0,2023,39.50656638613261,1,2,13,14801768
5536,0.5,2024,7.463855398327043,6,5,2,34009605
1114,0.0,2013,38.81344722517818,2,2,17,3466000
3474,0.5,2022,19.489987852211833,5,6,2,31021021
1317,0.0,2021,37.22868655960408,1,1,1,8074697
1223,1.0,2023,9.869473200961982,1,1,0,23458949
5706,0.0,2024,3.567807875226506,6,6,14,27677861
5754,0.0,2018,27.01400118232702,6,6,12,22078868
4673,0.5,2015,12.352745092266359,6,6,2,38984786
2432,0.0,2016,36.392901800964516,3,2,6,24317372
998,0.5,2023,37.202668380083516,1,1,3,7923305
5471,1.0,2025,32.692552215884966,6,6,2,56297355
2764,0.0,2021,22.647674057469473,3,2,14,11587588
2700,0.0,2023,41.58041625026369,3,4,0,10046848
5711,0.0,2014,26.55495573413879,6,5,2,53920160
402,0.0,2011,8.512931452024896,1,1,5,1438427
5677,0.5,2020,26.397666441143254,6,6,2,28165029
5705,0.0,2015,26.127519878077692,6,6,0,34058251
2391,1.0,2020,28.9853675270828,2,3,3,23527791
2326,1.0,2020,4.918773117937958,2,2,0,25285875
4546,1.0,2012,31.146546378297003,6,5,1,22499379
4162,0.0,2019,18.44699580677751,6,6,17,16399866
3114,1.0,2025,27.665073761253275,3,4,0,33107971
3227,1.0,2025,41.47537361426622,4,5,0,31860568
2872,0.5,2015,15.569328208759309,4,4,3,13763740
5894,1.0,2012,25.05516691811365,6,6,0,52947783
4615,0.0,2023,34.780399456751006,5,4,12,17691193
1017,0.5,2017,5.89348580786968,1,2,2,5214722
1793,0.0,2025,16.264778635670147,2,2,16,13030761
2864,0.0,2025,6.554202909069922,3,2,6,23526001
2202,0.5,2016,37.86767522270609,2,1,2,9416732
563,0.0,2010,34.8514249613003,1,1,1,1682424
2056,0.0,2022,14.592646254745176,3,2,15,9025286
2581,0.0,2025,1.8033614178549262,4,4,12,22478963
1034,0.0,2013,18.7265940423024,2,3,1,6694333
5820,0.0,2025,1.272790222568172,6,6,3,29080717
1355,1.0,2011,13.501205120652534,1,2,1,12328348
2519,0.5,2020,9.856502373000833,3,3,2,22763304
2806,0.0,2020,10.88829083514643,3,2,9,12283136
5044,0.0,2020,31.189257975728378,6,6,15,19617811
4596,0.0,2015,32.03768486848733,5,4,10,27279935
1118,0.0,2014,31.930731170548256,2,3,16,10547550
2372,0.0,2011,36.99681701001989,2,2,20,7759169
3863,0.5,2010,35.806068250314226,4,3,0,24794448
1394,0.0,2016,28.4097600580909,2,1,14,5495451
5016,0.0,2021,10.599455350561875,6,6,4,38780328
5796,0.0,2018,16.23601028989295,6,5,3,22137785
1236,0.0,2025,18.822480865828204,2,2,3,5555921
3746,0.0,2018,31.95915687290097,4,3,7,13874430
2696,0.0,2023,24.36973928130781,4,3,13,18836601
911,0.0,2020,33.53583389794137,1,2,16,3264540
2559,0.0,2019,7.569964429720543,3,3,10,30825274
1441,1.0,2012,10.838824594381538,2,2,1,22277172
3551,0.5,2024,3.0469123016083453,4,4,2,37619171
5202,0.0,2024,26.538465481632663,6,6,11,22377218
4694,0.0,2021,43.45092095596159,5,6,8,17041184
5635,1.0,2015,24.68406276533927,6,6,2,30657339
943,0.0,2019,10.310172210962342,2,3,5,6799923
5981,0.0,2024,27.929139185604072,6,5,4,71346108
4583,0.0,2010,30.759884514174548,6,5,16,25082114
3903,0.0,2020,26.21451091858584,4,3,12,45231183
1364,1.0,2010,17.05734724729591,1,2,0,7332230
2775,0.0,2015,37.423619985696384,4,4,12,16469942
2321,1.0,2021,22.375583707344454,2,2,0,24987137
3269,0.0,2015,44.515345685122824,4,5,13,27753103
1397,0.0,2014,11.32944576895887,1,1,18,5369652
4793,0.0,2021,10.434682286318116,5,5,16,20869684
1074,0.5,2015,3.846448369275788,1,1,2,5531557
1286,0.5,2019,18.2520839057752,2,2,1,11454120
2636,0.0,2014,11.556210041562206,3,3,20,10583439
5323,0.0,2015,37.57873125276927,6,6,12,47183359
2697,0.0,2018,23.637982146251574,4,4,8,10618109
2673,0.0,2022,3.175266438535999,3,2,3,22303278
4619,1.0,2016,16.406684803857917,5,4,3,26713005
2413,1.0,2023,31.4548158447062,3,3,2,14550898
2752,0.0,2025,22.120732446108043,3,2,11,33771339
5286,0.0,2012,16.15453949170996,6,6,16,52120828
2259,0.0,2018,7.405857162028435,2,2,2,9493296
4893,0.0,2015,30.116969490757587,6,6,6,30603543
5797,1.0,2023,8.410257351077897,6,6,3,40688558
2450,1.0,2014,39.22644968473122,4,3,1,11910266
2443,0.0,2013,44.5251895151524,3,4,5,21567952
4505,0.0,2024,25.094843734630967,5,6,7,18194416
5074,0.5,2022,5.711874600060246,6,5,2,75783436
3128,0.0,2019,31.006660681829544,3,2,11,12293116
4692,0.0,2010,6.413818658644825,6,6,10,17609177
841,0.0,2016,40.6344524444751,1,1,5,4959247
2462,0.0,2014,26.57552900946311,3,4,13,8716827
5641,0.0,2010,36.11558487746016,6,5,13,17401182
1983,0.0,2013,28.308140866890113,3,3,9,11221008
1025,0.0,2019,23.906925662893922,2,3,14,6916753
